2018-10-28 16:56:38,752 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\src\test\resources
2018-10-28 16:57:46,848 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 16:57:46,855 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\src\main\resources
2018-10-28 16:57:46,857 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 16:57:46,862 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\src\test\resources
2018-10-28 17:01:08,759 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 17:01:08,765 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\src\main\resources
2018-10-28 17:01:08,767 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 17:01:08,772 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\src\test\resources
2018-10-28 17:01:52,636 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 17:01:52,642 [Worker-64] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\src\main\resources
2018-10-28 17:01:52,645 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
